rawsum,joint_angle,
1617,157.5878005,22.4121995
1684,157.5800458,22.4199542
1755,157.572291,22.427709
1833,157.5645363,22.4354637
1920,157.5567816,22.4432184
1972,157.5412722,22.4587278
2062,157.7300299,22.2699701
2211,157.9187877,22.0812123
2214,158.1075454,21.8924546
2249,158.4850609,21.5149391
2317,160.5145467,19.4854533
2461,162.5440324,17.4559676
2619,164.5735182,15.4264818
2460,166.6030039,13.3969961
2406,170.6619754,9.3380246
2341,169.7819591,10.2180409
2236,168.9019428,11.0980572
1989,168.0219266,11.9780734
1762,166.261894,13.738106
1307,166.243333,13.756667
879,166.224772,13.775228
561,166.206211,13.793789
279,166.18765,13.81235
76,166.169089,13.830911
0,166.1319669,13.8680331
0,166.2759639,13.7240361
0,166.4199608,13.5800392
0,166.5639577,13.4360423
0,166.8519516,13.1480484
0,167.139644,12.860356
0,167.4273364,12.5726636
0,167.7150288,12.2849712
0,168.0027211,11.9972789
0,168.5781059,11.4218941
0,167.9498639,12.0501361
0,167.3216219,12.6783781
0,166.6933798,13.3066202
0,165.4368958,14.5631042
0,164.3795317,15.6204683
0,163.3221676,16.6778324
0,162.2648036,17.7351964
0,161.2074395,18.7925605
0,160.1500754,19.8499246
0,158.0353473,21.9646527
0,157.1156832,22.8843168
0,156.1960191,23.8039809
0,155.2763551,24.7236449
0,153.4370269,26.5629731
0,150.705391,29.294609
0,147.9737551,32.0262449
0,145.2421191,34.7578809
0,142.5104832,37.4895168
0,137.0472114,42.9527886
0,135.2764195,44.7235805
0,133.5056276,46.4943724
0,131.7348356,48.2651644
0,129.9640437,50.0359563
0,128.1932518,51.8067482
0,124.651668,55.348332
0,124.1308407,55.8691593
0,123.6100134,56.3899866
0,123.0891861,56.9108139
0,122.5683588,57.4316412
0,121.5267042,58.4732958
0,123.580059,56.419941
0,125.6334139,54.3665861
0,127.6867688,52.3132312
0,129.7401237,50.2598763
0,133.8468334,46.1531666
0,134.8284043,45.1715957
187,135.8099753,44.1900247
410,136.7915462,43.2084538
564,138.7546881,41.2453119
753,140.8000164,39.1999836
908,142.8453447,37.1546553
1168,144.8906729,35.1093271
1388,146.9360012,33.0639988
1613,151.0266578,28.9733422
1823,152.0704346,27.9295654
1991,153.1142114,26.8857886
2096,154.1579883,25.8420117
2188,155.2017651,24.7982349
2210,157.2893188,22.7106812
2206,158.2284813,21.7715187
2135,159.1676439,20.8323561
2018,160.1068064,19.8931936
1867,161.0459689,18.9540311
1680,162.924294,17.075706
1529,159.7370045,20.2629955
1369,156.5497151,23.4502849
1257,153.3624257,26.6375743
1169,150.1751362,29.8248638
